date ,calories,weight
2026-05-26,2100,83.3
2026-05-27,2184,83.6
2026-05-28,3854,
2026-05-29,3200,
2026-05-30,2170,
2026-05-31,2100,
2026-06-01,2100,
2026-06-02,1984,83.4
2026-06-03,1958,83.4
2026-06-04,2100,83.3
2026-06-05,2100,83.8
2026-06-06,2200,83.5
2026-06-07,3185,
2026-06-08,1831,83
2026-06-09,1687,82.6
2026-06-10,1900,82.2
2026-06-11,1900,82.1
2026-06-12,1944,82.8
2026-06-13,1943,82.3
2026-06-14,2079,
2026-06-15,1913,82.3
2026-06-16,1900,81.2
2026-06-17,2472,
2026-06-18,1891,82
2026-06-19,2001,81.7
2026-06-20,1898,81.5
2026-06-21,1937,
2026-06-22,1893,81.5
2026-06-23,2996,
2026-06-24,3045,
2026-06-25,3982,
2026-06-26,1845,81.2
2026-06-27,2169,
2026-06-28,1664,
2026-06-29,2364,80.6
2026-06-30,1916,80.8
2026-07-01,1994,80.4
2026-07-02,2059,80.7
2026-07-03,1899,80.1
2026-07-04,1960,80.4
2026-07-05,1896,
2026-07-06,1928,79.5
2026-07-07,2267,79.9
2026-07-08,2562,80
2026-07-09,3336,
2026-07-10,3630,
2026-07-11,3115,
2026-07-12,3121,
2026-07-13,2711,
2026-07-14,3257,
2026-07-15,3010,
2026-07-16,4300,
2026-07-17,2851,
2026-07-18,3430,
2026-07-19,4400,
2026-07-20,,
2026-07-21,,
2026-07-22,,
2026-07-23,,
2026-07-24,,
2026-07-25,,
2026-07-26,,
2026-07-27,,
2026-07-28,,
2026-07-29,,
2026-07-30,1921,
2026-07-31,1900,
2026-08-01,1997,
2026-08-02,,
2026-08-03,1931,
2026-08-04,1979,
2026-08-05,1943,
2026-08-06,1850,
2026-08-07,2006,
2026-08-08,2064,80.6
2026-08-09,1915,79.9
2026-08-10,2033,80
2026-08-11,1892,
2026-08-12,2674,79.6
2026-08-13,1904,80.1
2026-08-14,1967,79.5
2026-08-15,1954,79.2
2026-08-16,2400,80
2026-08-17,1942,79.5
2026-08-18,2072,79.1
2026-08-19,1982,79.7
2026-08-20,1956,78.6
2026-08-21,2277,78.8
2026-08-22,1942,78.7
2026-08-23,1858,78.8
2026-08-24,1965,78.2
2026-08-25,1905,78
2026-08-26,2006,77.9
2026-08-27,1989,77.8
2026-08-28,,78.3
2026-08-29,1943,78.4
2026-08-30,1943,78.2
2026-08-31,1887,77.1
2026-09-01,1939,77.5
2026-09-02,1928,77.3
2026-09-03,1944,77.4
2026-09-04,1929,77.3
2026-09-05,1931,76.5
2026-09-06,1921,76.6
2026-09-07,1919,76.4
2026-09-08,1919,76.9
2026-09-09,1916,76.3
2026-09-10,1886,76.5
2026-09-11,1902,75.9
2026-09-12,2110,75.8
2026-09-13,1955,75.9
2026-09-14,1976,75.4
2026-09-15,2043,76
2026-09-16,1928,75.2
2026-09-17,1917,75.4
2026-09-18,1980,75
2026-09-19,2127,75.1
2026-09-20,1918,75.2
2026-09-21,1945,75
